,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
14,2020-08-07,334.6000411131147,263.6633964213366,400.67701296027815,334.6000411131147,334.6000411131147,-4.196486984199418,-4.196486984199418,-4.196486984199418,-4.196486984199418,-4.196486984199418,-4.196486984199418,0.0,0.0,0.0,330.4035541289153
15,2020-08-10,339.4719313380908,263.6012800833789,401.006692976081,339.4719313380908,339.4719313380908,-5.747141642327884,-5.747141642327884,-5.747141642327884,-5.747141642327884,-5.747141642327884,-5.747141642327884,0.0,0.0,0.0,333.7247896957629
16,2020-08-11,341.0958947464162,267.0946328441492,403.3624228996781,341.0958947464162,341.0958947464162,-3.09249335853139,-3.09249335853139,-3.09249335853139,-3.09249335853139,-3.09249335853139,-3.09249335853139,0.0,0.0,0.0,338.0034013878848
17,2020-08-12,342.7198581842404,263.78095021011404,405.107748746492,342.7198581842404,342.7198581842404,-4.4486245001022375,-4.4486245001022375,-4.4486245001022375,-4.4486245001022375,-4.4486245001022375,-4.4486245001022375,0.0,0.0,0.0,338.27123368413817
18,2020-08-13,344.34382162206464,271.39049540564116,405.56685420390676,344.34382162206464,344.34382162206464,-4.546471507190902,-4.546471507190902,-4.546471507190902,-4.546471507190902,-4.546471507190902,-4.546471507190902,0.0,0.0,0.0,339.7973501148737
19,2020-08-14,345.9677850598889,272.638546125473,402.3246301919178,345.9677850598889,345.9677850598889,-4.196486984252268,-4.196486984252268,-4.196486984252268,-4.196486984252268,-4.196486984252268,-4.196486984252268,0.0,0.0,0.0,341.77129807563665
20,2020-08-17,350.8396753733617,273.79907498071447,412.7404202706663,350.8396753733617,350.8396753733617,-5.74714164234976,-5.74714164234976,-5.74714164234976,-5.74714164234976,-5.74714164234976,-5.74714164234976,0.0,0.0,0.0,345.09253373101194
21,2020-08-18,352.4636388111859,278.1970561243323,419.3334285430728,352.4636388111859,352.4636388111859,-3.0924933585466143,-3.0924933585466143,-3.0924933585466143,-3.0924933585466143,-3.0924933585466143,-3.0924933585466143,0.0,0.0,0.0,349.37114545263927
22,2020-08-19,354.0876022490101,275.57283065056913,416.89863236764614,354.08760224901005,354.08760224901005,-4.448624500102082,-4.448624500102082,-4.448624500102082,-4.448624500102082,-4.448624500102082,-4.448624500102082,0.0,0.0,0.0,349.638977748908
23,2020-08-20,355.7115656868344,282.42992646584275,416.2133408778178,355.7115656868344,355.7115656868344,-4.546471507196626,-4.546471507196626,-4.546471507196626,-4.546471507196626,-4.546471507196626,-4.546471507196626,0.0,0.0,0.0,351.1650941796378
